#Do not edit! This file is automatically extracted from Unicode Data.
#code;character;name;variant;plain_code;plain_character
1D423;𝐣;MATHEMATICAL BOLD SMALL J;Bold;006A;j
1D424;𝐤;MATHEMATICAL BOLD SMALL K;Bold;006B;k
1D425;𝐥;MATHEMATICAL BOLD SMALL L;Bold;006C;l
1D426;𝐦;MATHEMATICAL BOLD SMALL M;Bold;006D;m
1D427;𝐧;MATHEMATICAL BOLD SMALL N;Bold;006E;n
1D428;𝐨;MATHEMATICAL BOLD SMALL O;Bold;006F;o
1D429;𝐩;MATHEMATICAL BOLD SMALL P;Bold;0070;p
1D42A;𝐪;MATHEMATICAL BOLD SMALL Q;Bold;0071;q
1D42B;𝐫;MATHEMATICAL BOLD SMALL R;Bold;0072;r
1D42C;𝐬;MATHEMATICAL BOLD SMALL S;Bold;0073;s
1D42D;𝐭;MATHEMATICAL BOLD SMALL T;Bold;0074;t
1D42E;𝐮;MATHEMATICAL BOLD SMALL U;Bold;0075;u
1D42F;𝐯;MATHEMATICAL BOLD SMALL V;Bold;0076;v
1D430;𝐰;MATHEMATICAL BOLD SMALL W;Bold;0077;w
1D431;𝐱;MATHEMATICAL BOLD SMALL X;Bold;0078;x
1D432;𝐲;MATHEMATICAL BOLD SMALL Y;Bold;0079;y
1D433;𝐳;MATHEMATICAL BOLD SMALL Z;Bold;007A;z
1D434;𝐴;MATHEMATICAL ITALIC CAPITAL A;Italic;0041;A
1D435;𝐵;MATHEMATICAL ITALIC CAPITAL B;Italic;0042;B
1D436;𝐶;MATHEMATICAL ITALIC CAPITAL C;Italic;0043;C
1D437;𝐷;MATHEMATICAL ITALIC CAPITAL D;Italic;0044;D
1D438;𝐸;MATHEMATICAL ITALIC CAPITAL E;Italic;0045;E
1D439;𝐹;MATHEMATICAL ITALIC CAPITAL F;Italic;0046;F
1D43A;𝐺;MATHEMATICAL ITALIC CAPITAL G;Italic;0047;G
1D43B;𝐻;MATHEMATICAL ITALIC CAPITAL H;Italic;0048;H
1D43C;𝐼;MATHEMATICAL ITALIC CAPITAL I;Italic;0049;I
1D43D;𝐽;MATHEMATICAL ITALIC CAPITAL J;Italic;004A;J
1D43E;𝐾;MATHEMATICAL ITALIC CAPITAL K;Italic;004B;K
1D43F;𝐿;MATHEMATICAL ITALIC CAPITAL L;Italic;004C;L
1D440;𝑀;MATHEMATICAL ITALIC CAPITAL M;Italic;004D;M
1D441;𝑁;MATHEMATICAL ITALIC CAPITAL N;Italic;004E;N
1D442;𝑂;MATHEMATICAL ITALIC CAPITAL O;Italic;004F;O
1D443;𝑃;MATHEMATICAL ITALIC CAPITAL P;Italic;0050;P
1D444;𝑄;MATHEMATICAL ITALIC CAPITAL Q;Italic;0051;Q
1D445;𝑅;MATHEMATICAL ITALIC CAPITAL R;Italic;0052;R
1D446;𝑆;MATHEMATICAL ITALIC CAPITAL S;Italic;0053;S
1D447;𝑇;MATHEMATICAL ITALIC CAPITAL T;Italic;0054;T
1D448;𝑈;MATHEMATICAL ITALIC CAPITAL U;Italic;0055;U
1D449;𝑉;MATHEMATICAL ITALIC CAPITAL V;Italic;0056;V
1D44A;𝑊;MATHEMATICAL ITALIC CAPITAL W;Italic;0057;W
1D44B;𝑋;MATHEMATICAL ITALIC CAPITAL X;Italic;0058;X
1D44C;𝑌;MATHEMATICAL ITALIC CAPITAL Y;Italic;0059;Y
1D44D;𝑍;MATHEMATICAL ITALIC CAPITAL Z;Italic;005A;Z
1D44E;𝑎;MATHEMATICAL ITALIC SMALL A;Italic;0061;a
1D44F;𝑏;MATHEMATICAL ITALIC SMALL B;Italic;0062;b
1D450;𝑐;MATHEMATICAL ITALIC SMALL C;Italic;0063;c
1D451;𝑑;MATHEMATICAL ITALIC SMALL D;Italic;0064;d
1D452;𝑒;MATHEMATICAL ITALIC SMALL E;Italic;0065;e
1D453;𝑓;MATHEMATICAL ITALIC SMALL F;Italic;0066;f
1D454;𝑔;MATHEMATICAL ITALIC SMALL G;Italic;0067;g
1D456;𝑖;MATHEMATICAL ITALIC SMALL I;Italic;0069;i
1D457;𝑗;MATHEMATICAL ITALIC SMALL J;Italic;006A;j
1D458;𝑘;MATHEMATICAL ITALIC SMALL K;Italic;006B;k
1D459;𝑙;MATHEMATICAL ITALIC SMALL L;Italic;006C;l
1D45A;𝑚;MATHEMATICAL ITALIC SMALL M;Italic;006D;m
1D45B;𝑛;MATHEMATICAL ITALIC SMALL N;Italic;006E;n
1D45C;𝑜;MATHEMATICAL ITALIC SMALL O;Italic;006F;o
1D45D;𝑝;MATHEMATICAL ITALIC SMALL P;Italic;0070;p
1D45E;𝑞;MATHEMATICAL ITALIC SMALL Q;Italic;0071;q
1D45F;𝑟;MATHEMATICAL ITALIC SMALL R;Italic;0072;r
1D460;𝑠;MATHEMATICAL ITALIC SMALL S;Italic;0073;s
1D461;𝑡;MATHEMATICAL ITALIC SMALL T;Italic;0074;t
1D462;𝑢;MATHEMATICAL ITALIC SMALL U;Italic;0075;u
1D463;𝑣;MATHEMATICAL ITALIC SMALL V;Italic;0076;v
1D464;𝑤;MATHEMATICAL ITALIC SMALL W;Italic;0077;w
1D465;𝑥;MATHEMATICAL ITALIC SMALL X;Italic;0078;x
1D466;𝑦;MATHEMATICAL ITALIC SMALL Y;Italic;0079;y
1D467;𝑧;MATHEMATICAL ITALIC SMALL Z;Italic;007A;z
1D468;𝑨;MATHEMATICAL BOLD ITALIC CAPITAL A;BoldItalic;0041;A
1D469;𝑩;MATHEMATICAL BOLD ITALIC CAPITAL B;BoldItalic;0042;B
1D46A;𝑪;MATHEMATICAL BOLD ITALIC CAPITAL C;BoldItalic;0043;C
1D46B;𝑫;MATHEMATICAL BOLD ITALIC CAPITAL D;BoldItalic;0044;D
1D46C;𝑬;MATHEMATICAL BOLD ITALIC CAPITAL E;BoldItalic;0045;E
1D46D;𝑭;MATHEMATICAL BOLD ITALIC CAPITAL F;BoldItalic;0046;F
1D46E;𝑮;MATHEMATICAL BOLD ITALIC CAPITAL G;BoldItalic;0047;G
1D46F;𝑯;MATHEMATICAL BOLD ITALIC CAPITAL H;BoldItalic;0048;H
1D470;𝑰;MATHEMATICAL BOLD ITALIC CAPITAL I;BoldItalic;0049;I
1D471;𝑱;MATHEMATICAL BOLD ITALIC CAPITAL J;BoldItalic;004A;J
1D472;𝑲;MATHEMATICAL BOLD ITALIC CAPITAL K;BoldItalic;004B;K
1D473;𝑳;MATHEMATICAL BOLD ITALIC CAPITAL L;BoldItalic;004C;L
1D474;𝑴;MATHEMATICAL BOLD ITALIC CAPITAL M;BoldItalic;004D;M
1D475;𝑵;MATHEMATICAL BOLD ITALIC CAPITAL N;BoldItalic;004E;N
1D476;𝑶;MATHEMATICAL BOLD ITALIC CAPITAL O;BoldItalic;004F;O
1D477;𝑷;MATHEMATICAL BOLD ITALIC CAPITAL P;BoldItalic;0050;P
1D478;𝑸;MATHEMATICAL BOLD ITALIC CAPITAL Q;BoldItalic;0051;Q
1D479;𝑹;MATHEMATICAL BOLD ITALIC CAPITAL R;BoldItalic;0052;R
1D47A;𝑺;MATHEMATICAL BOLD ITALIC CAPITAL S;BoldItalic;0053;S
1D47B;𝑻;MATHEMATICAL BOLD ITALIC CAPITAL T;BoldItalic;0054;T
1D47C;𝑼;MATHEMATICAL BOLD ITALIC CAPITAL U;BoldItalic;0055;U
1D47D;𝑽;MATHEMATICAL BOLD ITALIC CAPITAL V;BoldItalic;0056;V
1D47E;𝑾;MATHEMATICAL BOLD ITALIC CAPITAL W;BoldItalic;0057;W
1D47F;𝑿;MATHEMATICAL BOLD ITALIC CAPITAL X;BoldItalic;0058;X
1D480;𝒀;MATHEMATICAL BOLD ITALIC CAPITAL Y;BoldItalic;0059;Y
1D481;𝒁;MATHEMATICAL BOLD ITALIC CAPITAL Z;BoldItalic;005A;Z
1D482;𝒂;MATHEMATICAL BOLD ITALIC SMALL A;BoldItalic;0061;a
1D483;𝒃;MATHEMATICAL BOLD ITALIC SMALL B;BoldItalic;0062;b
1D484;𝒄;MATHEMATICAL BOLD ITALIC SMALL C;BoldItalic;0063;c
1D485;𝒅;MATHEMATICAL BOLD ITALIC SMALL D;BoldItalic;0064;d
1D486;𝒆;MATHEMATICAL BOLD ITALIC SMALL E;BoldItalic;0065;e
1D487;𝒇;MATHEMATICAL BOLD ITALIC SMALL F;BoldItalic;0066;f
1D488;𝒈;MATHEMATICAL BOLD ITALIC SMALL G;BoldItalic;0067;g
1D489;𝒉;MATHEMATICAL BOLD ITALIC SMALL H;BoldItalic;0068;h
1D48A;𝒊;MATHEMATICAL BOLD ITALIC SMALL I;BoldItalic;0069;i
1D48B;𝒋;MATHEMATICAL BOLD ITALIC SMALL J;BoldItalic;006A;j
1D48C;𝒌;MATHEMATICAL BOLD ITALIC SMALL K;BoldItalic;006B;k
1D48D;𝒍;MATHEMATICAL BOLD ITALIC SMALL L;BoldItalic;006C;l
1D48E;𝒎;MATHEMATICAL BOLD ITALIC SMALL M;BoldItalic;006D;m
1D48F;𝒏;MATHEMATICAL BOLD ITALIC SMALL N;BoldItalic;006E;n
1D490;𝒐;MATHEMATICAL BOLD ITALIC SMALL O;BoldItalic;006F;o
1D491;𝒑;MATHEMATICAL BOLD ITALIC SMALL P;BoldItalic;0070;p
1D492;𝒒;MATHEMATICAL BOLD ITALIC SMALL Q;BoldItalic;0071;q
1D493;𝒓;MATHEMATICAL BOLD ITALIC SMALL R;BoldItalic;0072;r
1D494;𝒔;MATHEMATICAL BOLD ITALIC SMALL S;BoldItalic;0073;s
1D495;𝒕;MATHEMATICAL BOLD ITALIC SMALL T;BoldItalic;0074;t
1D496;𝒖;MATHEMATICAL BOLD ITALIC SMALL U;BoldItalic;0075;u
1D497;𝒗;MATHEMATICAL BOLD ITALIC SMALL V;BoldItalic;0076;v
1D498;𝒘;MATHEMATICAL BOLD ITALIC SMALL W;BoldItalic;0077;w
1D499;𝒙;MATHEMATICAL BOLD ITALIC SMALL X;BoldItalic;0078;x
1D49A;𝒚;MATHEMATICAL BOLD ITALIC SMALL Y;BoldItalic;0079;y
1D49B;𝒛;MATHEMATICAL BOLD ITALIC SMALL Z;BoldItalic;007A;z
1D49C;𝒜;MATHEMATICAL SCRIPT CAPITAL A;MathematicalScript;0041;A
1D49E;𝒞;MATHEMATICAL SCRIPT CAPITAL C;MathematicalScript;0043;C
1D49F;𝒟;MATHEMATICAL SCRIPT CAPITAL D;MathematicalScript;0044;D
1D4A2;𝒢;MATHEMATICAL SCRIPT CAPITAL G;MathematicalScript;0047;G
1D4A5;𝒥;MATHEMATICAL SCRIPT CAPITAL J;MathematicalScript;004A;J
1D4A6;𝒦;MATHEMATICAL SCRIPT CAPITAL K;MathematicalScript;004B;K
1D4A9;𝒩;MATHEMATICAL SCRIPT CAPITAL N;MathematicalScript;004E;N
1D4AA;𝒪;MATHEMATICAL SCRIPT CAPITAL O;MathematicalScript;004F;O
1D4AB;𝒫;MATHEMATICAL SCRIPT CAPITAL P;MathematicalScript;0050;P
1D4AC;𝒬;MATHEMATICAL SCRIPT CAPITAL Q;MathematicalScript;0051;Q
1D4AE;𝒮;MATHEMATICAL SCRIPT CAPITAL S;MathematicalScript;0053;S
1D4AF;𝒯;MATHEMATICAL SCRIPT CAPITAL T;MathematicalScript;0054;T
